variant,task,n_embd,n_layer,n_head,seq_len,seed,accuracy
QKV,SUB,32,4,2,64,2,0.9979
QKV,SUB,32,4,2,128,1,0.9962
QKV,SUB,32,4,4,16,0,1.0000
QKV,SUB,32,4,4,16,2,1.0000
QKV,SUB,32,4,4,64,1,1.0000
QKV,SUB,32,4,4,128,0,0.9951
QKV,SUB,32,4,4,128,2,0.9759
QKV,SUB,64,2,2,16,1,1.0000
QKV,SUB,64,2,2,64,0,1.0000
QKV,SUB,64,2,2,64,2,1.0000
QKV,SUB,64,2,2,128,1,1.0000
QKV,SUB,64,2,4,16,0,1.0000
QKV,SUB,64,2,4,16,2,1.0000
QKV,SUB,64,2,4,64,1,1.0000
QKV,SUB,64,2,4,128,0,1.0000
QKV,SUB,64,2,4,128,2,1.0000
QKV,SUB,64,4,2,16,1,1.0000
QKV,SUB,64,4,2,64,0,1.0000
QKV,SUB,64,4,2,64,2,1.0000
QKV,SUB,64,4,2,128,1,1.0000
QKV,SUB,64,4,4,16,0,1.0000
QKV,SUB,64,4,4,16,2,1.0000
QKV,SUB,64,4,4,64,1,1.0000
QKV,SUB,64,4,4,128,0,1.0000
QKV,SUB,64,4,4,128,2,1.0000
QKV,SUB,256,2,2,16,1,1.0000
QKV,SUB,256,2,2,64,0,1.0000
QKV,SUB,256,2,2,64,2,1.0000
QKV,SUB,256,2,2,128,1,1.0000
QKV,SUB,256,2,4,16,0,1.0000
QKV,SUB,256,2,4,16,2,1.0000
QKV,SUB,256,2,4,64,1,1.0000
QKV,SUB,256,2,4,128,0,1.0000
QKV,SUB,256,2,4,128,2,1.0000
QKV,SUB,256,4,2,16,1,1.0000
QKV,SUB,256,4,2,64,0,1.0000
QKV,SUB,256,4,2,64,2,1.0000
QKV,SUB,256,4,2,128,1,1.0000
QKV,SUB,256,4,4,16,0,1.0000
QKV,SUB,256,4,4,16,2,1.0000
QKV,SUB,256,4,4,64,1,1.0000
QKV,SUB,256,4,4,128,0,1.0000
QKV,SUB,256,4,4,128,2,1.0000
QKV,SWAP,32,2,2,16,1,0.2795
QKV,SWAP,32,2,2,64,0,0.1020
QKV,SWAP,32,2,2,64,2,0.1006
QKV,SWAP,32,2,2,128,1,0.0997
QKV,SWAP,32,2,4,16,0,0.2916
QKV,SWAP,32,2,4,16,2,0.2109
QKV,SWAP,32,2,4,64,1,0.1016
QKV,SWAP,32,2,4,128,0,0.1001
QKV,SWAP,32,2,4,128,2,0.1007
QKV,SWAP,32,4,2,16,1,0.3298
QKV,SWAP,32,4,2,64,0,0.1002
QKV,SWAP,32,4,2,64,2,0.1010
QKV,SWAP,32,4,2,128,1,0.1004
QKV,SWAP,32,4,4,16,0,0.1821
QKV,SWAP,32,4,4,16,2,0.2129
QKV,SWAP,32,4,4,64,1,0.1018
QKV,SWAP,32,4,4,128,0,0.1009
QKV,SWAP,32,4,4,128,2,0.1002
QKV,SWAP,64,2,2,16,1,1.0000
QKV,SWAP,64,2,2,64,0,0.1797
QKV,SWAP,64,2,2,64,2,0.3136
QKV,SWAP,64,2,2,128,1,0.1015
QKV,SWAP,64,2,4,16,0,1.0000
QKV,SWAP,64,2,4,16,2,1.0000
QKV,SWAP,64,2,4,64,1,0.1093
QKV,SWAP,64,2,4,128,0,0.1000
QKV,SWAP,64,2,4,128,2,0.1014
QKV,SWAP,64,4,2,16,1,1.0000
QKV,SWAP,64,4,2,64,0,0.1077
QKV,SWAP,64,4,2,64,2,0.1609
QKV,SWAP,64,4,2,128,1,0.1008
QKV,SWAP,64,4,4,16,0,1.0000
QKV,SWAP,64,4,4,16,2,1.0000
QKV,SWAP,64,4,4,64,1,0.1069
QKV,SWAP,64,4,4,128,0,0.1014
QKV,SWAP,64,4,4,128,2,0.1012
QKV,SWAP,256,2,2,16,1,1.0000
QKV,SWAP,256,2,2,64,0,1.0000
QKV,SWAP,256,2,2,64,2,1.0000
QKV,SWAP,256,2,2,128,1,1.0000
QKV,SWAP,256,2,4,16,0,1.0000
QKV,SWAP,256,2,4,16,2,1.0000
QKV,SWAP,256,2,4,64,1,1.0000
QKV,SWAP,256,2,4,128,0,1.0000
QKV,SWAP,256,2,4,128,2,1.0000
QKV,SWAP,256,4,2,16,1,1.0000
QKV,SWAP,256,4,2,64,0,1.0000
QKV,SWAP,256,4,2,64,2,1.0000
QKV,SWAP,256,4,2,128,1,1.0000
QKV,SWAP,256,4,4,16,0,1.0000
QKV,SWAP,256,4,4,16,2,1.0000
QKV,SWAP,256,4,4,64,1,1.0000
QKV,SWAP,256,4,4,128,0,1.0000
QKV,SWAP,256,4,4,128,2,1.0000
QKV,COPY,32,2,2,16,1,1.0000
QKV,COPY,32,2,2,64,0,0.9327
QKV,COPY,32,2,2,64,2,0.9748
QKV,COPY,32,2,2,128,1,0.8856
QKV,COPY,32,2,4,16,0,1.0000
QKV,COPY,32,2,4,16,2,1.0000
QKV,COPY,32,2,4,64,1,0.9745
QKV,COPY,32,2,4,128,0,0.8663
QKV,COPY,32,2,4,128,2,0.8943
QKV,COPY,32,4,2,16,1,1.0000
QKV,COPY,32,4,2,64,0,1.0000
QKV,COPY,32,4,2,64,2,1.0000
QKV,COPY,32,4,2,128,1,0.9971
QKV,COPY,32,4,4,16,0,1.0000
QKV,COPY,32,4,4,16,2,1.0000
QKV,COPY,32,4,4,64,1,1.0000
QKV,COPY,32,4,4,128,0,0.9964
QKV,COPY,32,4,4,128,2,0.9757
QKV,COPY,64,2,2,16,1,1.0000
QKV,COPY,64,2,2,64,0,1.0000
QKV,COPY,64,2,2,64,2,1.0000
QKV,COPY,64,2,2,128,1,1.0000
QKV,COPY,64,2,4,16,0,1.0000
QKV,COPY,64,2,4,16,2,1.0000
QKV,COPY,64,2,4,64,1,1.0000
QKV,COPY,64,2,4,128,0,1.0000
QKV,COPY,64,2,4,128,2,1.0000
QKV,COPY,64,4,2,16,1,1.0000
QKV,COPY,64,4,2,64,0,1.0000
QKV,COPY,64,4,2,64,2,1.0000
QKV,COPY,64,4,2,128,1,1.0000
QKV,COPY,64,4,4,16,0,1.0000
QKV,COPY,64,4,4,16,2,1.0000
QKV,COPY,64,4,4,64,1,1.0000
QKV,COPY,64,4,4,128,0,1.0000
QKV,COPY,64,4,4,128,2,1.0000
QKV,COPY,256,2,2,16,1,1.0000
QKV,COPY,256,2,2,64,0,1.0000
QKV,COPY,256,2,2,64,2,1.0000
QKV,COPY,256,2,2,128,1,1.0000
QKV,COPY,256,2,4,16,0,1.0000
QKV,COPY,256,2,4,16,2,1.0000
QKV,COPY,256,2,4,64,1,1.0000
QKV,COPY,256,2,4,128,0,1.0000
QKV,COPY,256,2,4,128,2,1.0000
QKV,COPY,256,4,2,16,1,1.0000
QKV,COPY,256,4,2,64,0,1.0000
QKV,COPY,256,4,2,64,2,1.0000
QKV,COPY,256,4,2,128,1,1.0000
QKV,COPY,256,4,4,16,0,1.0000
QKV,COPY,256,4,4,16,2,1.0000
QKV,COPY,256,4,4,64,1,1.0000
QKV,COPY,256,4,4,128,0,1.0000
QKV,COPY,256,4,4,128,2,1.0000
Q=K!=V,REVERSE,32,2,2,16,1,0.2453
Q=K!=V,REVERSE,32,2,2,64,0,0.1010
Q=K!=V,REVERSE,32,2,2,64,2,0.1005
Q=K!=V,REVERSE,32,2,2,128,1,0.0999
Q=K!=V,REVERSE,32,2,4,16,0,0.1846
Q=K!=V,REVERSE,32,2,4,16,2,0.1404
Q=K!=V,REVERSE,32,2,4,64,1,0.1015
Q=K!=V,REVERSE,32,2,4,128,0,0.1010
Q=K!=V,REVERSE,32,2,4,128,2,0.0998
Q=K!=V,REVERSE,32,4,2,16,1,0.3059
Q=K!=V,REVERSE,32,4,2,64,0,0.1014
Q=K!=V,REVERSE,32,4,2,64,2,0.1010
Q=K!=V,REVERSE,32,4,2,128,1,0.0993
Q=K!=V,REVERSE,32,4,4,16,0,0.2884
Q=K!=V,REVERSE,32,4,4,16,2,0.2569
Q=K!=V,REVERSE,32,4,4,64,1,0.1015
Q=K!=V,REVERSE,32,4,4,128,0,0.1005
Q=K!=V,REVERSE,32,4,4,128,2,0.0994
Q=K!=V,REVERSE,64,2,2,16,1,0.9952
Q=K!=V,REVERSE,64,2,2,64,0,0.1211
Q=K!=V,REVERSE,64,2,2,64,2,0.1090
Q=K!=V,REVERSE,64,2,2,128,1,0.1005
Q=K!=V,REVERSE,64,2,4,16,0,0.9363
Q=K!=V,REVERSE,64,2,4,16,2,0.9907
Q=K!=V,REVERSE,64,2,4,64,1,0.1073
Q=K!=V,REVERSE,64,2,4,128,0,0.1004
Q=K!=V,REVERSE,64,2,4,128,2,0.1019
Q=K!=V,REVERSE,64,4,2,16,1,1.0000
Q=K!=V,REVERSE,64,4,2,64,0,0.1060
Q=K!=V,REVERSE,64,4,2,64,2,0.1047
Q=K!=V,REVERSE,64,4,2,128,1,0.1012
Q=K!=V,REVERSE,64,4,4,16,0,0.9996
Q=K!=V,REVERSE,64,4,4,16,2,1.0000
Q=K!=V,REVERSE,64,4,4,64,1,0.1060
Q=K!=V,REVERSE,64,4,4,128,0,0.1027
Q=K!=V,REVERSE,64,4,4,128,2,0.1012
Q=K!=V,REVERSE,256,2,2,16,1,1.0000
Q=K!=V,REVERSE,256,2,2,64,0,1.0000
Q=K!=V,REVERSE,256,2,2,64,2,1.0000
Q=K!=V,REVERSE,256,2,2,128,1,0.9084
Q=K!=V,REVERSE,256,2,4,16,0,1.0000
Q=K!=V,REVERSE,256,2,4,16,2,1.0000
Q=K!=V,REVERSE,256,2,4,64,1,1.0000
Q=K!=V,REVERSE,256,2,4,128,0,1.0000
Q=K!=V,REVERSE,256,2,4,128,2,0.9994
Q=K!=V,REVERSE,256,4,2,16,1,1.0000
Q=K!=V,REVERSE,256,4,2,64,0,0.9998
Q=K!=V,REVERSE,256,4,2,64,2,1.0000
Q=K!=V,REVERSE,256,4,2,128,1,0.1164
Q=K!=V,REVERSE,256,4,4,16,0,1.0000
Q=K!=V,REVERSE,256,4,4,16,2,1.0000
Q=K!=V,REVERSE,256,4,4,64,1,1.0000
Q=K!=V,REVERSE,256,4,4,128,0,0.8772
Q=K!=V,REVERSE,256,4,4,128,2,0.9611
Q=K!=V,SORT,32,2,2,16,1,0.4442
Q=K!=V,SORT,32,2,2,64,0,0.6385
Q=K!=V,SORT,32,2,2,64,2,0.6390
Q=K!=V,SORT,32,2,2,128,1,0.7311
Q=K!=V,SORT,32,2,4,16,0,0.4426
Q=K!=V,SORT,32,2,4,16,2,0.4531
Q=K!=V,SORT,32,2,4,64,1,0.6432
Q=K!=V,SORT,32,2,4,128,0,0.7329
Q=K!=V,SORT,32,2,4,128,2,0.7325
Q=K!=V,SORT,32,4,2,16,1,0.5454
Q=K!=V,SORT,32,4,2,64,0,0.6421
Q=K!=V,SORT,32,4,2,64,2,0.6465
Q=K!=V,SORT,32,4,2,128,1,0.7384
Q=K!=V,SORT,32,4,4,16,0,0.4813
Q=K!=V,SORT,32,4,4,16,2,0.5608
Q=K!=V,SORT,32,4,4,64,1,0.6538
Q=K!=V,SORT,32,4,4,128,0,0.7360
Q=K!=V,SORT,32,4,4,128,2,0.7370
Q=K!=V,SORT,64,2,2,16,1,0.4571
Q=K!=V,SORT,64,2,2,64,0,0.6555
Q=K!=V,SORT,64,2,2,64,2,0.6487
Q=K!=V,SORT,64,2,2,128,1,0.7413
Q=K!=V,SORT,64,2,4,16,0,0.5784
Q=K!=V,SORT,64,2,4,16,2,0.5076
Q=K!=V,SORT,64,2,4,64,1,0.6578
Q=K!=V,SORT,64,2,4,128,0,0.7442
Q=K!=V,SORT,64,2,4,128,2,0.7411
Q=K!=V,SORT,64,4,2,16,1,0.5896
Q=K!=V,SORT,64,4,2,64,0,0.7209
Q=K!=V,SORT,64,4,2,64,2,0.6932
Q=K!=V,SORT,64,4,2,128,1,0.7536
Q=K!=V,SORT,64,4,4,16,0,0.6879
Q=K!=V,SORT,64,4,4,16,2,0.7065
Q=K!=V,SORT,64,4,4,64,1,0.7305
Q=K!=V,SORT,64,4,4,128,0,0.7964
Q=K!=V,SORT,64,4,4,128,2,0.7861
Q=K!=V,SORT,256,2,2,16,1,0.6974
Q=K!=V,SORT,256,2,2,64,0,0.7016
Q=K!=V,SORT,256,2,2,64,2,0.6639
Q=K!=V,SORT,256,2,2,128,1,0.7821
Q=K!=V,SORT,256,2,4,16,0,0.7005
Q=K!=V,SORT,256,2,4,16,2,0.7315
Q=K!=V,SORT,256,2,4,64,1,0.8054
Q=K!=V,SORT,256,2,4,128,0,0.8453
Q=K!=V,SORT,256,2,4,128,2,0.8388
Q=K!=V,SORT,256,4,2,16,1,0.6548
Q=K!=V,SORT,256,4,2,64,0,0.7799
Q=K!=V,SORT,256,4,2,64,2,0.7960
Q=K!=V,SORT,256,4,2,128,1,0.8367
Q=K!=V,SORT,256,4,4,16,0,0.8041
Q=K!=V,SORT,256,4,4,16,2,0.7722
Q=K!=V,SORT,256,4,4,64,1,0.8510
Q=K!=V,SORT,256,4,4,128,0,0.8627
Q=K!=V,SORT,256,4,4,128,2,0.8834
Q=K!=V,SUB,32,2,2,16,1,1.0000
Q=K!=V,SUB,32,2,2,64,0,0.9650
Q=K!=V,SUB,32,2,2,64,2,0.9671
Q=K!=V,SUB,32,2,2,128,1,0.8902
Q=K!=V,SUB,32,2,4,16,0,1.0000
Q=K!=V,SUB,32,2,4,16,2,1.0000
Q=K!=V,SUB,32,2,4,64,1,0.9700
Q=K!=V,SUB,32,2,4,128,0,0.8884
Q=K!=V,SUB,32,2,4,128,2,0.8819
Q=K!=V,SUB,32,4,2,16,1,1.0000
Q=K!=V,SUB,32,4,2,64,0,1.0000
Q=K!=V,SUB,32,4,2,64,2,0.9965
Q=K!=V,SUB,32,4,2,128,1,0.9888
Q=K!=V,SUB,32,4,4,16,0,1.0000
Q=K!=V,SUB,32,4,4,16,2,1.0000
Q=K!=V,SUB,32,4,4,64,1,1.0000
Q=K!=V,SUB,32,4,4,128,0,0.9918
Q=K!=V,SUB,32,4,4,128,2,0.9834
Q=K!=V,SUB,64,2,2,16,1,1.0000
Q=K!=V,SUB,64,2,2,64,0,1.0000
Q=K!=V,SUB,64,2,2,64,2,1.0000
Q=K!=V,SUB,64,2,2,128,1,1.0000
Q=K!=V,SUB,64,2,4,16,0,1.0000
Q=K!=V,SUB,64,2,4,16,2,1.0000
Q=K!=V,SUB,64,2,4,64,1,1.0000
Q=K!=V,SUB,64,2,4,128,0,1.0000
Q=K!=V,SUB,64,2,4,128,2,1.0000
Q=K!=V,SUB,64,4,2,16,1,1.0000
Q=K!=V,SUB,64,4,2,64,0,1.0000
Q=K!=V,SUB,64,4,2,64,2,1.0000
Q=K!=V,SUB,64,4,2,128,1,1.0000
Q=K!=V,SUB,64,4,4,16,0,1.0000
Q=K!=V,SUB,64,4,4,16,2,1.0000
Q=K!=V,SUB,64,4,4,64,1,1.0000
Q=K!=V,SUB,64,4,4,128,0,1.0000
Q=K!=V,SUB,64,4,4,128,2,1.0000
Q=K!=V,SUB,256,2,2,16,1,1.0000
Q=K!=V,SUB,256,2,2,64,0,1.0000
Q=K!=V,SUB,256,2,2,64,2,1.0000
Q=K!=V,SUB,256,2,2,128,1,1.0000
Q=K!=V,SUB,256,2,4,16,0,1.0000
Q=K!=V,SUB,256,2,4,16,2,1.0000
Q=K!=V,SUB,256,2,4,64,1,1.0000
Q=K!=V,SUB,256,2,4,128,0,1.0000
Q=K!=V,SUB,256,2,4,128,2,1.0000
Q=K!=V,SUB,256,4,2,16,1,1.0000
Q=K!=V,SUB,256,4,2,64,0,1.0000
Q=K!=V,SUB,256,4,2,64,2,1.0000
Q=K!=V,SUB,256,4,2,128,1,1.0000
Q=K!=V,SUB,256,4,4,16,0,1.0000
Q=K!=V,SUB,256,4,4,16,2,1.0000
Q=K!=V,SUB,256,4,4,64,1,1.0000
Q=K!=V,SUB,256,4,4,128,0,1.0000
Q=K!=V,SUB,256,4,4,128,2,1.0000
Q=K!=V,SWAP,32,2,2,16,1,0.2176
Q=K!=V,SWAP,32,2,2,64,0,0.1004
Q=K!=V,SWAP,32,2,2,64,2,0.1009
Q=K!=V,SWAP,32,2,2,128,1,0.1001
Q=K!=V,SWAP,32,2,4,16,0,0.1424
Q=K!=V,SWAP,32,2,4,16,2,0.1298
Q=K!=V,SWAP,32,2,4,64,1,0.1002
Q=K!=V,SWAP,32,2,4,128,0,0.0997
Q=K!=V,SWAP,32,2,4,128,2,0.1012
Q=K!=V,SWAP,32,4,2,16,1,0.2188
Q=K!=V,SWAP,32,4,2,64,0,0.1000
Q=K!=V,SWAP,32,4,2,64,2,0.1017
Q=K!=V,SWAP,32,4,2,128,1,0.0999
Q=K!=V,SWAP,32,4,4,16,0,0.2822
Q=K!=V,SWAP,32,4,4,16,2,0.1647
Q=K!=V,SWAP,32,4,4,64,1,0.1007
Q=K!=V,SWAP,32,4,4,128,0,0.0997
Q=K!=V,SWAP,32,4,4,128,2,0.0999
Q=K!=V,SWAP,64,2,2,16,1,0.9922
Q=K!=V,SWAP,64,2,2,64,0,0.1327
Q=K!=V,SWAP,64,2,2,64,2,0.1186
Q=K!=V,SWAP,64,2,2,128,1,0.1011
Q=K!=V,SWAP,64,2,4,16,0,0.9990
Q=K!=V,SWAP,64,2,4,16,2,0.9979
Q=K!=V,SWAP,64,2,4,64,1,0.1058
Q=K!=V,SWAP,64,2,4,128,0,0.1018
Q=K!=V,SWAP,64,2,4,128,2,0.1011
Q=K!=V,SWAP,64,4,2,16,1,0.9999
Q=K!=V,SWAP,64,4,2,64,0,0.1068
Q=K!=V,SWAP,64,4,2,64,2,0.1119
Q=K!=V,SWAP,64,4,2,128,1,0.1009
Q=K!=V,SWAP,64,4,4,16,0,1.0000
Q=K!=V,SWAP,64,4,4,16,2,0.9999
Q=K!=V,SWAP,64,4,4,64,1,0.1060
Q=K!=V,SWAP,64,4,4,128,0,0.1012
Q=K!=V,SWAP,64,4,4,128,2,0.1020
Q=K!=V,SWAP,256,2,2,16,1,1.0000
Q=K!=V,SWAP,256,2,2,64,0,1.0000
Q=K!=V,SWAP,256,2,2,64,2,1.0000
Q=K!=V,SWAP,256,2,2,128,1,0.8917
Q=K!=V,SWAP,256,2,4,16,0,1.0000
Q=K!=V,SWAP,256,2,4,16,2,1.0000
Q=K!=V,SWAP,256,2,4,64,1,1.0000
Q=K!=V,SWAP,256,2,4,128,0,1.0000
Q=K!=V,SWAP,256,2,4,128,2,0.9995
Q=K!=V,SWAP,256,4,2,16,1,1.0000
Q=K!=V,SWAP,256,4,2,64,0,0.6304
Q=K!=V,SWAP,256,4,2,64,2,1.0000
Q=K!=V,SWAP,256,4,2,128,1,0.1184
Q=K!=V,SWAP,256,4,4,16,0,1.0000
Q=K!=V,SWAP,256,4,4,16,2,1.0000
Q=K!=V,SWAP,256,4,4,64,1,1.0000
Q=K!=V,SWAP,256,4,4,128,0,0.6861
Q=K!=V,SWAP,256,4,4,128,2,0.9936
Q=K!=V,COPY,32,2,2,16,1,1.0000
Q=K!=V,COPY,32,2,2,64,0,0.9757
Q=K!=V,COPY,32,2,2,64,2,0.9802
Q=K!=V,COPY,32,2,2,128,1,0.9289
Q=K!=V,COPY,32,2,4,16,0,1.0000
Q=K!=V,COPY,32,2,4,16,2,1.0000
Q=K!=V,COPY,32,2,4,64,1,0.9926
Q=K!=V,COPY,32,2,4,128,0,0.9054
Q=K!=V,COPY,32,2,4,128,2,0.9161
Q=K!=V,COPY,32,4,2,16,1,1.0000
Q=K!=V,COPY,32,4,2,64,0,0.9968
Q=K!=V,COPY,32,4,2,64,2,0.9996
Q=K!=V,COPY,32,4,2,128,1,0.9867
Q=K!=V,COPY,32,4,4,16,0,1.0000
Q=K!=V,COPY,32,4,4,16,2,1.0000
Q=K!=V,COPY,32,4,4,64,1,1.0000
Q=K!=V,COPY,32,4,4,128,0,0.9841
Q=K!=V,COPY,32,4,4,128,2,0.9836
Q=K!=V,COPY,64,2,2,16,1,1.0000
Q=K!=V,COPY,64,2,2,64,0,1.0000
Q=K!=V,COPY,64,2,2,64,2,1.0000
Q=K!=V,COPY,64,2,2,128,1,1.0000
Q=K!=V,COPY,64,2,4,16,0,1.0000
Q=K!=V,COPY,64,2,4,16,2,1.0000
Q=K!=V,COPY,64,2,4,64,1,1.0000
Q=K!=V,COPY,64,2,4,128,0,1.0000
Q=K!=V,COPY,64,2,4,128,2,1.0000
Q=K!=V,COPY,64,4,2,16,1,1.0000
Q=K!=V,COPY,64,4,2,64,0,1.0000
Q=K!=V,COPY,64,4,2,64,2,1.0000
Q=K!=V,COPY,64,4,2,128,1,1.0000
Q=K!=V,COPY,64,4,4,16,0,1.0000
Q=K!=V,COPY,64,4,4,16,2,1.0000
Q=K!=V,COPY,64,4,4,64,1,1.0000
Q=K!=V,COPY,64,4,4,128,0,1.0000
Q=K!=V,COPY,64,4,4,128,2,1.0000
Q=K!=V,COPY,256,2,2,16,1,1.0000
Q=K!=V,COPY,256,2,2,64,0,1.0000
Q=K!=V,COPY,256,2,2,64,2,1.0000
Q=K!=V,COPY,256,2,2,128,1,1.0000
Q=K!=V,COPY,256,2,4,16,0,1.0000
Q=K!=V,COPY,256,2,4,16,2,1.0000
Q=K!=V,COPY,256,2,4,64,1,1.0000
Q=K!=V,COPY,256,2,4,128,0,1.0000
Q=K!=V,COPY,256,2,4,128,2,1.0000
Q=K!=V,COPY,256,4,2,16,1,1.0000
Q=K!=V,COPY,256,4,2,64,0,1.0000
Q=K!=V,COPY,256,4,2,64,2,1.0000
Q=K!=V,COPY,256,4,2,128,1,1.0000
Q=K!=V,COPY,256,4,4,16,0,1.0000
Q=K!=V,COPY,256,4,4,16,2,1.0000
Q=K!=V,COPY,256,4,4,64,1,1.0000
Q=K!=V,COPY,256,4,4,128,0,1.0000
Q=K!=V,COPY,256,4,4,128,2,1.0000
(Q=K!=V)+,REVERSE,32,2,2,16,1,0.3799
(Q=K!=V)+,REVERSE,32,2,2,64,0,0.0999
(Q=K!=V)+,REVERSE,32,2,2,64,2,0.1019
