task,variant,step,loss_mean
REVERSE,QKV,62,2.30301
REVERSE,QKV,63,2.30383
REVERSE,QKV,64,2.30342
REVERSE,QKV,65,2.30272
REVERSE,QKV,66,2.30312
REVERSE,QKV,67,2.30311
REVERSE,QKV,68,2.30292
REVERSE,QKV,69,2.30319
REVERSE,QKV,70,2.30247
REVERSE,QKV,71,2.30318
REVERSE,QKV,72,2.30235
REVERSE,QKV,73,2.30215
REVERSE,QKV,74,2.30251
REVERSE,QKV,75,2.30253
REVERSE,QKV,76,2.30291
REVERSE,QKV,77,2.30275
REVERSE,QKV,78,2.30073
REVERSE,QKV,79,2.30186
REVERSE,QKV,80,2.30169
REVERSE,QKV,81,2.30195
REVERSE,QKV,82,2.30200
REVERSE,QKV,83,2.30178
REVERSE,QKV,84,2.30123
REVERSE,QKV,85,2.30094
REVERSE,QKV,86,2.30050
REVERSE,QKV,87,2.30141
REVERSE,QKV,88,2.30081
REVERSE,QKV,89,2.30040
REVERSE,QKV,90,2.30056
REVERSE,QKV,91,2.30120
REVERSE,QKV,92,2.29940
REVERSE,QKV,93,2.30010
REVERSE,QKV,94,2.29958
REVERSE,QKV,95,2.29913
REVERSE,QKV,96,2.29941
REVERSE,QKV,97,2.29859
REVERSE,QKV,98,2.29802
REVERSE,QKV,99,2.29747
REVERSE,QKV,100,2.29769
REVERSE,QKV,101,2.29616
REVERSE,QKV,102,2.29639
REVERSE,QKV,103,2.29546
REVERSE,QKV,104,2.29525
REVERSE,QKV,105,2.29392
REVERSE,QKV,106,2.29339
REVERSE,QKV,107,2.29236
REVERSE,QKV,108,2.28997
REVERSE,QKV,109,2.28857
REVERSE,QKV,110,2.28668
REVERSE,QKV,111,2.28466
REVERSE,QKV,112,2.28323
REVERSE,QKV,113,2.28014
REVERSE,QKV,114,2.27744
REVERSE,QKV,115,2.27295
REVERSE,QKV,116,2.26674
REVERSE,QKV,117,2.26269
REVERSE,QKV,118,2.25561
REVERSE,QKV,119,2.24864
REVERSE,QKV,120,2.23872
REVERSE,QKV,121,2.23219
REVERSE,QKV,122,2.22171
REVERSE,QKV,123,2.20978
REVERSE,QKV,124,2.19158
REVERSE,QKV,125,2.17705
REVERSE,QKV,126,2.16049
REVERSE,QKV,127,2.14093
REVERSE,QKV,128,2.12305
REVERSE,QKV,129,2.09734
REVERSE,QKV,130,2.07467
REVERSE,QKV,131,2.04702
REVERSE,QKV,132,2.02169
REVERSE,QKV,133,1.99065
REVERSE,QKV,134,1.95166
REVERSE,QKV,135,1.92445
REVERSE,QKV,136,1.88371
REVERSE,QKV,137,1.85897
REVERSE,QKV,138,1.81788
REVERSE,QKV,139,1.78014
REVERSE,QKV,140,1.74589
REVERSE,QKV,141,1.70774
REVERSE,QKV,142,1.66579
REVERSE,QKV,143,1.62564
REVERSE,QKV,144,1.57725
REVERSE,QKV,145,1.53257
REVERSE,QKV,146,1.48908
REVERSE,QKV,147,1.44710
REVERSE,QKV,148,1.39768
REVERSE,QKV,149,1.35073
REVERSE,QKV,150,1.30573
REVERSE,QKV,151,1.26165
REVERSE,QKV,152,1.21622
REVERSE,QKV,153,1.16234
REVERSE,QKV,154,1.11587
REVERSE,QKV,155,1.07087
REVERSE,QKV,156,1.02077
REVERSE,QKV,157,0.98358
REVERSE,QKV,158,0.93304
REVERSE,QKV,159,0.88863
REVERSE,QKV,160,0.84892
REVERSE,QKV,161,0.79898
REVERSE,QKV,162,0.76502
REVERSE,QKV,163,0.72091
REVERSE,QKV,164,0.68309
REVERSE,QKV,165,0.64636
REVERSE,QKV,166,0.60890
REVERSE,QKV,167,0.56962
REVERSE,QKV,168,0.53335
REVERSE,QKV,169,0.49278
REVERSE,QKV,170,0.46358
REVERSE,QKV,171,0.42722
REVERSE,QKV,172,0.39264
REVERSE,QKV,173,0.36533
REVERSE,QKV,174,0.33236
REVERSE,QKV,175,0.31084
REVERSE,QKV,176,0.28462
REVERSE,QKV,177,0.26652
REVERSE,QKV,178,0.24149
REVERSE,QKV,179,0.21997
REVERSE,QKV,180,0.20442
REVERSE,QKV,181,0.18429
REVERSE,QKV,182,0.17204
REVERSE,QKV,183,0.15566
REVERSE,QKV,184,0.14214
REVERSE,QKV,185,0.12686
REVERSE,QKV,186,0.11204
REVERSE,QKV,187,0.10340
REVERSE,QKV,188,0.09237
REVERSE,QKV,189,0.08414
REVERSE,QKV,190,0.07624
REVERSE,QKV,191,0.06868
REVERSE,QKV,192,0.06261
REVERSE,QKV,193,0.05973
REVERSE,QKV,194,0.05254
REVERSE,QKV,195,0.04729
REVERSE,QKV,196,0.04331
REVERSE,QKV,197,0.03983
REVERSE,QKV,198,0.03510
REVERSE,QKV,199,0.03097
REVERSE,QKV,200,0.02852
REVERSE,QKV,201,0.02565
REVERSE,QKV,202,0.02298
REVERSE,QKV,203,0.02083
REVERSE,QKV,204,0.01990
REVERSE,QKV,205,0.01843
REVERSE,QKV,206,0.01746
REVERSE,QKV,207,0.01638
REVERSE,QKV,208,0.01622
REVERSE,QKV,209,0.01537
REVERSE,QKV,210,0.01474
REVERSE,QKV,211,0.01374
REVERSE,QKV,212,0.01331
REVERSE,QKV,213,0.01277
REVERSE,QKV,214,0.01246
REVERSE,QKV,215,0.01206
REVERSE,QKV,216,0.01168
REVERSE,QKV,217,0.01120
REVERSE,QKV,218,0.01093
REVERSE,QKV,219,0.01059
REVERSE,QKV,220,0.01039
REVERSE,QKV,221,0.00998
REVERSE,QKV,222,0.00981
REVERSE,QKV,223,0.00946
REVERSE,QKV,224,0.00927
REVERSE,QKV,225,0.00908
REVERSE,QKV,226,0.00891
REVERSE,QKV,227,0.00848
REVERSE,QKV,228,0.00848
REVERSE,QKV,229,0.00825
REVERSE,QKV,230,0.00822
REVERSE,QKV,231,0.00807
REVERSE,QKV,232,0.00784
REVERSE,QKV,233,0.00779
REVERSE,QKV,234,0.00772
REVERSE,QKV,235,0.00752
REVERSE,QKV,236,0.00773
REVERSE,QKV,237,0.00715
REVERSE,QKV,238,0.00709
REVERSE,QKV,239,0.00694
REVERSE,QKV,240,0.00694
REVERSE,QKV,241,0.00691
REVERSE,QKV,242,0.00677
REVERSE,QKV,243,0.00658
REVERSE,QKV,244,0.00656
REVERSE,QKV,245,0.00649
REVERSE,QKV,246,0.00642
REVERSE,QKV,247,0.00651
REVERSE,QKV,248,0.00625
REVERSE,QKV,249,0.00606
REVERSE,QKV,250,0.00609
REVERSE,QKV,251,0.00601
REVERSE,QKV,252,0.00598
REVERSE,QKV,253,0.00584
REVERSE,QKV,254,0.00589
REVERSE,QKV,255,0.00574
REVERSE,QKV,256,0.00566
REVERSE,QKV,257,0.00565
REVERSE,QKV,258,0.00558
REVERSE,QKV,259,0.00553
REVERSE,QKV,260,0.00545
REVERSE,QKV,261,0.00540
REVERSE,QKV,262,0.00537
REVERSE,QKV,263,0.00538
REVERSE,QKV,264,0.00529
REVERSE,QKV,265,0.00518
REVERSE,QKV,266,0.00512
REVERSE,QKV,267,0.00514
REVERSE,QKV,268,0.00509
REVERSE,QKV,269,0.00502
REVERSE,QKV,270,0.00496
REVERSE,QKV,271,0.00494
REVERSE,QKV,272,0.00492
REVERSE,QKV,273,0.00485
REVERSE,QKV,274,0.00482
REVERSE,QKV,275,0.00471
REVERSE,QKV,276,0.00472
REVERSE,QKV,277,0.00471
REVERSE,QKV,278,0.00466
REVERSE,QKV,279,0.00462
REVERSE,QKV,280,0.00455
REVERSE,QKV,281,0.00455
REVERSE,QKV,282,0.00450
REVERSE,QKV,283,0.00445
REVERSE,QKV,284,0.00441
REVERSE,QKV,285,0.00440
REVERSE,QKV,286,0.00434
REVERSE,QKV,287,0.00431
REVERSE,QKV,288,0.00435
REVERSE,QKV,289,0.00432
REVERSE,QKV,290,0.00421
REVERSE,QKV,291,0.00419
REVERSE,QKV,292,0.00419
REVERSE,QKV,293,0.00414
REVERSE,QKV,294,0.00411
REVERSE,QKV,295,0.00407
REVERSE,QKV,296,0.00407
REVERSE,QKV,297,0.00407
REVERSE,QKV,298,0.00400
REVERSE,QKV,299,0.00399
REVERSE,QKV,300,0.00395
REVERSE,QKV,301,0.00394
REVERSE,QKV,302,0.00389
REVERSE,QKV,303,0.00395
REVERSE,QKV,304,0.00387
REVERSE,QKV,305,0.00382
REVERSE,QKV,306,0.00380
REVERSE,QKV,307,0.00376
REVERSE,QKV,308,0.00375
REVERSE,QKV,309,0.00374
REVERSE,QKV,310,0.00371
REVERSE,QKV,311,0.00369
REVERSE,QKV,312,0.00364
REVERSE,QKV,313,0.00367
REVERSE,QKV,314,0.00358
REVERSE,QKV,315,0.00367
REVERSE,QKV,316,0.00355
REVERSE,QKV,317,0.00352
REVERSE,QKV,318,0.00353
REVERSE,QKV,319,0.00352
REVERSE,QKV,320,0.00346
REVERSE,QKV,321,0.00345
REVERSE,QKV,322,0.00346
REVERSE,QKV,323,0.00344
REVERSE,QKV,324,0.00340
REVERSE,QKV,325,0.00337
REVERSE,QKV,326,0.00335
REVERSE,QKV,327,0.00333
REVERSE,QKV,328,0.00333
REVERSE,QKV,329,0.00330
REVERSE,QKV,330,0.00325
REVERSE,QKV,331,0.00325
REVERSE,QKV,332,0.00330
REVERSE,QKV,333,0.00320
REVERSE,QKV,334,0.00324
REVERSE,QKV,335,0.00322
REVERSE,QKV,336,0.00318
REVERSE,QKV,337,0.00319
REVERSE,QKV,338,0.00313
REVERSE,QKV,339,0.00311
REVERSE,QKV,340,0.00314
REVERSE,QKV,341,0.00308
REVERSE,QKV,342,0.00308
REVERSE,QKV,343,0.00306
REVERSE,QKV,344,0.00307
REVERSE,QKV,345,0.00307
REVERSE,QKV,346,0.00304
REVERSE,QKV,347,0.00301
REVERSE,QKV,348,0.00301
REVERSE,QKV,349,0.00297
REVERSE,QKV,350,0.00300
REVERSE,QKV,351,0.00292
REVERSE,QKV,352,0.00293
REVERSE,QKV,353,0.00292
REVERSE,QKV,354,0.00295
REVERSE,QKV,355,0.00292
REVERSE,QKV,356,0.00289
REVERSE,QKV,357,0.00290
REVERSE,QKV,358,0.00286
REVERSE,QKV,359,0.00286
REVERSE,QKV,360,0.00283
REVERSE,QKV,361,0.00282
REVERSE,QKV,362,0.00282
REVERSE,QKV,363,0.00280
REVERSE,QKV,364,0.00276
REVERSE,QKV,365,0.00278
REVERSE,QKV,366,0.00275
REVERSE,QKV,367,0.00273
REVERSE,QKV,368,0.00279
REVERSE,QKV,369,0.00268
REVERSE,QKV,370,0.00272
REVERSE,QKV,371,0.00268
REVERSE,QKV,372,0.00270
REVERSE,QKV,373,0.00267
REVERSE,QKV,374,0.00269
REVERSE,QKV,375,0.00265
REVERSE,QKV,376,0.00262
REVERSE,QKV,377,0.00265
REVERSE,QKV,378,0.00266
REVERSE,QKV,379,0.00260
REVERSE,QKV,380,0.00263
REVERSE,QKV,381,0.00259
REVERSE,QKV,382,0.00257
REVERSE,QKV,383,0.00255
REVERSE,QKV,384,0.00255
REVERSE,QKV,385,0.00256
REVERSE,QKV,386,0.00252
REVERSE,QKV,387,0.00253
REVERSE,QKV,388,0.00251
REVERSE,QKV,389,0.00253
REVERSE,QKV,390,0.00248
REVERSE,QKV,391,0.00249
REVERSE,QKV,392,0.00247
REVERSE,QKV,393,0.00247
REVERSE,QKV,394,0.00244
REVERSE,QKV,395,0.00243
REVERSE,QKV,396,0.00245
REVERSE,QKV,397,0.00244
REVERSE,QKV,398,0.00242
REVERSE,QKV,399,0.00242
REVERSE,QKV,400,0.00240
REVERSE,QKV,401,0.00240
REVERSE,QKV,402,0.00239
REVERSE,QKV,403,0.00239
REVERSE,QKV,404,0.00238
REVERSE,QKV,405,0.00237
REVERSE,QKV,406,0.00235
REVERSE,QKV,407,0.00235
REVERSE,QKV,408,0.00234
REVERSE,QKV,409,0.00235
REVERSE,QKV,410,0.00232
REVERSE,QKV,411,0.00232
REVERSE,QKV,412,0.00233
REVERSE,QKV,413,0.00229
REVERSE,QKV,414,0.00229
REVERSE,QKV,415,0.00229
REVERSE,QKV,416,0.00227
REVERSE,QKV,417,0.00230
REVERSE,QKV,418,0.00228
REVERSE,QKV,419,0.00224
REVERSE,QKV,420,0.00226
REVERSE,QKV,421,0.00224
REVERSE,QKV,422,0.00225
REVERSE,QKV,423,0.00226
REVERSE,QKV,424,0.00223
REVERSE,QKV,425,0.00223
REVERSE,QKV,426,0.00220
REVERSE,QKV,427,0.00219
REVERSE,QKV,428,0.00220
REVERSE,QKV,429,0.00219
REVERSE,QKV,430,0.00215
REVERSE,QKV,431,0.00217
REVERSE,QKV,432,0.00216
REVERSE,QKV,433,0.00216
REVERSE,QKV,434,0.00220
REVERSE,QKV,435,0.00218
REVERSE,QKV,436,0.00215
REVERSE,QKV,437,0.00211
REVERSE,QKV,438,0.00213
REVERSE,QKV,439,0.00214
REVERSE,QKV,440,0.00214
REVERSE,QKV,441,0.00211
REVERSE,QKV,442,0.00211
REVERSE,QKV,443,0.00211
REVERSE,QKV,444,0.00209
REVERSE,QKV,445,0.00207
REVERSE,QKV,446,0.00206
REVERSE,QKV,447,0.00208
REVERSE,QKV,448,0.00210
REVERSE,QKV,449,0.00205
REVERSE,QKV,450,0.00204
REVERSE,QKV,451,0.00211
REVERSE,QKV,452,0.00206
REVERSE,QKV,453,0.00202
REVERSE,QKV,454,0.00204
REVERSE,QKV,455,0.00204
REVERSE,QKV,456,0.00205
REVERSE,QKV,457,0.00202
REVERSE,QKV,458,0.00204
REVERSE,QKV,459,0.00202
REVERSE,QKV,460,0.00199
REVERSE,QKV,461,0.00202
REVERSE,QKV,462,0.00201
REVERSE,QKV,463,0.00199
REVERSE,QKV,464,0.00198
REVERSE,QKV,465,0.00199
REVERSE,QKV,466,0.00198
REVERSE,QKV,467,0.00200
REVERSE,QKV,468,0.00198
REVERSE,QKV,469,0.00198
REVERSE,QKV,470,0.00198
REVERSE,QKV,471,0.00197
REVERSE,QKV,472,0.00194
REVERSE,QKV,473,0.00197
REVERSE,QKV,474,0.00195
REVERSE,QKV,475,0.00194
REVERSE,QKV,476,0.00193
REVERSE,QKV,477,0.00193
REVERSE,QKV,478,0.00192
REVERSE,QKV,479,0.00192
REVERSE,QKV,480,0.00190
REVERSE,QKV,481,0.00191
REVERSE,QKV,482,0.00191
REVERSE,QKV,483,0.00191
REVERSE,QKV,484,0.00189
REVERSE,QKV,485,0.00189
REVERSE,QKV,486,0.00190
REVERSE,QKV,487,0.00189
REVERSE,QKV,488,0.00190
REVERSE,QKV,489,0.00189
REVERSE,QKV,490,0.00188
REVERSE,QKV,491,0.00189
REVERSE,QKV,492,0.00185
REVERSE,QKV,493,0.00186
REVERSE,QKV,494,0.00187
REVERSE,QKV,495,0.00188
REVERSE,QKV,496,0.00186
REVERSE,QKV,497,0.00185
REVERSE,QKV,498,0.00186
REVERSE,QKV,499,0.00185
REVERSE,QKV,500,0.00185
REVERSE,QKV,501,0.00184
REVERSE,QKV,502,0.00183
REVERSE,QKV,503,0.00185
REVERSE,QKV,504,0.00183
REVERSE,QKV,505,0.00183
REVERSE,QKV,506,0.00182
REVERSE,QKV,507,0.00180
REVERSE,QKV,508,0.00182
REVERSE,QKV,509,0.00182
REVERSE,QKV,510,0.00182
REVERSE,QKV,511,0.00182
REVERSE,QKV,512,0.00181
REVERSE,QKV,513,0.00179
REVERSE,QKV,514,0.00179
REVERSE,QKV,515,0.00181
REVERSE,QKV,516,0.00180
REVERSE,QKV,517,0.00180
REVERSE,QKV,518,0.00177
REVERSE,QKV,519,0.00179
REVERSE,QKV,520,0.00177
REVERSE,QKV,521,0.00176
REVERSE,QKV,522,0.00176
REVERSE,QKV,523,0.00175
REVERSE,QKV,524,0.00177
REVERSE,QKV,525,0.00175
REVERSE,QKV,526,0.00177
REVERSE,QKV,527,0.00176
REVERSE,QKV,528,0.00177
REVERSE,QKV,529,0.00174
REVERSE,QKV,530,0.00175
REVERSE,QKV,531,0.00174
REVERSE,QKV,532,0.00174
REVERSE,QKV,533,0.00174
REVERSE,QKV,534,0.00175
REVERSE,QKV,535,0.00174
REVERSE,QKV,536,0.00175
REVERSE,QKV,537,0.00172
REVERSE,QKV,538,0.00173
REVERSE,QKV,539,0.00175
REVERSE,QKV,540,0.00173
REVERSE,QKV,541,0.00174
REVERSE,QKV,542,0.00170
REVERSE,QKV,543,0.00172
REVERSE,QKV,544,0.00170
REVERSE,QKV,545,0.00171
REVERSE,QKV,546,0.00170
REVERSE,QKV,547,0.00170
REVERSE,QKV,548,0.00170
REVERSE,QKV,549,0.00169
REVERSE,QKV,550,0.00170
REVERSE,QKV,551,0.00170
REVERSE,QKV,552,0.00168
REVERSE,QKV,553,0.00172
REVERSE,QKV,554,0.00170
REVERSE,QKV,555,0.00168
REVERSE,QKV,556,0.00168
REVERSE,QKV,557,0.00169
REVERSE,QKV,558,0.00168
REVERSE,QKV,559,0.00169
REVERSE,QKV,560,0.00167
REVERSE,QKV,561,0.00170
REVERSE,QKV,562,0.00167
REVERSE,QKV,563,0.00167
REVERSE,QKV,564,0.00166
REVERSE,QKV,565,0.00167
REVERSE,QKV,566,0.00167
REVERSE,QKV,567,0.00166
REVERSE,QKV,568,0.00166
REVERSE,QKV,569,0.00166
REVERSE,QKV,570,0.00165
REVERSE,QKV,571,0.00164
REVERSE,QKV,572,0.00165
REVERSE,QKV,573,0.00165
REVERSE,QKV,574,0.00164
REVERSE,QKV,575,0.00164
REVERSE,QKV,576,0.00165
REVERSE,QKV,577,0.00165
REVERSE,QKV,578,0.00163
REVERSE,QKV,579,0.00164
REVERSE,QKV,580,0.00164
REVERSE,QKV,581,0.00163
REVERSE,QKV,582,0.00164
REVERSE,QKV,583,0.00164
REVERSE,QKV,584,0.00162
REVERSE,QKV,585,0.00162
REVERSE,QKV,586,0.00163
REVERSE,QKV,587,0.00163
REVERSE,QKV,588,0.00161
REVERSE,QKV,589,0.00161
REVERSE,QKV,590,0.00163
REVERSE,QKV,591,0.00161
REVERSE,QKV,592,0.00162
REVERSE,QKV,593,0.00162
REVERSE,QKV,594,0.00163
REVERSE,QKV,595,0.00161
REVERSE,QKV,596,0.00161
REVERSE,QKV,597,0.00163
REVERSE,QKV,598,0.00162
REVERSE,QKV,599,0.00160
REVERSE,QKV,600,0.00161
REVERSE,QKV,601,0.00160
REVERSE,QKV,602,0.00161
REVERSE,QKV,603,0.00162
REVERSE,QKV,604,0.00162
REVERSE,QKV,605,0.00160
REVERSE,QKV,606,0.00161
REVERSE,QKV,607,0.00159
REVERSE,QKV,608,0.00160
REVERSE,QKV,609,0.00159
REVERSE,QKV,610,0.00158
REVERSE,QKV,611,0.00160
REVERSE,QKV,612,0.00157
REVERSE,QKV,613,0.00158
REVERSE,QKV,614,0.00157
REVERSE,QKV,615,0.00159
REVERSE,QKV,616,0.00159
REVERSE,QKV,617,0.00158
REVERSE,QKV,618,0.00158
REVERSE,QKV,619,0.00158
REVERSE,QKV,620,0.00160
REVERSE,QKV,621,0.00157
REVERSE,QKV,622,0.00159
REVERSE,QKV,623,0.00158
REVERSE,QKV,624,0.00158
REVERSE,QKV,625,0.00158
REVERSE,QKV,626,0.00159
REVERSE,QKV,627,0.00158
REVERSE,QKV,628,0.00159
REVERSE,QKV,629,0.00157
REVERSE,QKV,630,0.00156
REVERSE,QKV,631,0.00160
REVERSE,QKV,632,0.00156
REVERSE,QKV,633,0.00157
REVERSE,QKV,634,0.00157
REVERSE,QKV,635,0.00157
REVERSE,QKV,636,0.00156
REVERSE,QKV,637,0.00156
REVERSE,QKV,638,0.00154
REVERSE,QKV,639,0.00157
REVERSE,QKV,640,0.00156
REVERSE,QKV,641,0.00156
REVERSE,QKV,642,0.00156
REVERSE,QKV,643,0.00155
REVERSE,QKV,644,0.00156
REVERSE,QKV,645,0.00156
REVERSE,QKV,646,0.00156
REVERSE,QKV,647,0.00156
REVERSE,QKV,648,0.00155
REVERSE,QKV,649,0.00153
REVERSE,QKV,650,0.00155
REVERSE,QKV,651,0.00155
REVERSE,QKV,652,0.00154
REVERSE,QKV,653,0.00155
REVERSE,QKV,654,0.00155
REVERSE,QKV,655,0.00156
REVERSE,QKV,656,0.00155
REVERSE,QKV,657,0.00156
REVERSE,QKV,658,0.00153
REVERSE,QKV,659,0.00154
REVERSE,QKV,660,0.00155
REVERSE,QKV,661,0.00154
REVERSE,QKV,662,0.00155
REVERSE,QKV,663,0.00154
REVERSE,QKV,664,0.00155
REVERSE,QKV,665,0.00154
REVERSE,QKV,666,0.00154
REVERSE,QKV,667,0.00155
REVERSE,QKV,668,0.00155
REVERSE,QKV,669,0.00157
REVERSE,QKV,670,0.00154
REVERSE,QKV,671,0.00154
REVERSE,QKV,672,0.00156
REVERSE,QKV,673,0.00154
REVERSE,QKV,674,0.00154
REVERSE,QKV,675,0.00154
REVERSE,QKV,676,0.00153
REVERSE,QKV,677,0.00153
REVERSE,QKV,678,0.00154
REVERSE,QKV,679,0.00153
REVERSE,QKV,680,0.00153
REVERSE,QKV,681,0.00154
REVERSE,QKV,682,0.00154
REVERSE,QKV,683,0.00153
REVERSE,QKV,684,0.00154
REVERSE,QKV,685,0.00153
REVERSE,QKV,686,0.00153
REVERSE,QKV,687,0.00154
REVERSE,QKV,688,0.00153
REVERSE,QKV,689,0.00153
REVERSE,QKV,690,0.00151
REVERSE,QKV,691,0.00153
REVERSE,QKV,692,0.00152
REVERSE,QKV,693,0.00151
REVERSE,QKV,694,0.00156
REVERSE,QKV,695,0.00152
REVERSE,QKV,696,0.00153
REVERSE,QKV,697,0.00154
REVERSE,QKV,698,0.00153
REVERSE,QKV,699,0.00153
REVERSE,QKV,700,0.00152
REVERSE,QKV,701,0.00154
REVERSE,QKV,702,0.00152
REVERSE,QKV,703,0.00153
REVERSE,QKV,704,0.00152
REVERSE,QKV,705,0.00152
REVERSE,QKV,706,0.00151
REVERSE,QKV,707,0.00152
REVERSE,QKV,708,0.00153
REVERSE,QKV,709,0.00151
REVERSE,QKV,710,0.00153
REVERSE,QKV,711,0.00153
REVERSE,QKV,712,0.00152
REVERSE,QKV,713,0.00152
REVERSE,QKV,714,0.00152
REVERSE,QKV,715,0.00151
REVERSE,QKV,716,0.00153
REVERSE,QKV,717,0.00153
REVERSE,QKV,718,0.00153
REVERSE,QKV,719,0.00151
REVERSE,QKV,720,0.00152
REVERSE,QKV,721,0.00154
REVERSE,QKV,722,0.00152
REVERSE,QKV,723,0.00152
REVERSE,QKV,724,0.00152
REVERSE,QKV,725,0.00152
REVERSE,QKV,726,0.00152
REVERSE,QKV,727,0.00150
REVERSE,QKV,728,0.00151
REVERSE,QKV,729,0.00152
REVERSE,QKV,730,0.00151
REVERSE,QKV,731,0.00152
REVERSE,QKV,732,0.00151
REVERSE,QKV,733,0.00152
REVERSE,QKV,734,0.00152
REVERSE,QKV,735,0.00153
REVERSE,QKV,736,0.00151
REVERSE,QKV,737,0.00152
REVERSE,QKV,738,0.00152
REVERSE,QKV,739,0.00152
REVERSE,QKV,740,0.00152
REVERSE,QKV,741,0.00152
REVERSE,QKV,742,0.00152
REVERSE,QKV,743,0.00151
REVERSE,QKV,744,0.00151
REVERSE,QKV,745,0.00151
REVERSE,QKV,746,0.00152
REVERSE,QKV,747,0.00153
REVERSE,QKV,748,0.00151
REVERSE,QKV,749,0.00152
REVERSE,QKV,750,0.00152
REVERSE,QKV,751,0.00152
REVERSE,QKV,752,0.00153
REVERSE,QKV,753,0.00153
REVERSE,QKV,754,0.00152
REVERSE,QKV,755,0.00153
REVERSE,QKV,756,0.00151
REVERSE,QKV,757,0.00152
REVERSE,QKV,758,0.00153
REVERSE,QKV,759,0.00153
REVERSE,QKV,760,0.00150
REVERSE,QKV,761,0.00152
REVERSE,QKV,762,0.00151
REVERSE,QKV,763,0.00153
REVERSE,QKV,764,0.00152
REVERSE,QKV,765,0.00153
REVERSE,QKV,766,0.00151
REVERSE,QKV,767,0.00153
REVERSE,QKV,768,0.00150
REVERSE,QKV,769,0.00151
REVERSE,QKV,770,0.00152
REVERSE,QKV,771,0.00152
REVERSE,QKV,772,0.00152
REVERSE,QKV,773,0.00152
REVERSE,QKV,774,0.00151
REVERSE,QKV,775,0.00152
REVERSE,QKV,776,0.00151
REVERSE,QKV,777,0.00151
REVERSE,QKV,778,0.00150
REVERSE,QKV,779,0.00151
REVERSE,QKV,780,0.00150
REVERSE,QKV,781,0.00153
REVERSE,QKV,782,0.00153
REVERSE,QKV,783,0.00152
REVERSE,QKV,784,0.00152
REVERSE,QKV,785,0.00152
REVERSE,QKV,786,0.00151
REVERSE,QKV,787,0.00151
REVERSE,QKV,788,0.00151
REVERSE,QKV,789,0.00149
REVERSE,Q=K!=V,0,2.46558
REVERSE,Q=K!=V,1,2.45796
REVERSE,Q=K!=V,2,2.46988
REVERSE,Q=K!=V,3,2.46575
REVERSE,Q=K!=V,4,2.45986
REVERSE,Q=K!=V,5,2.44940
REVERSE,Q=K!=V,6,2.44678
REVERSE,Q=K!=V,7,2.44122
REVERSE,Q=K!=V,8,2.43505
REVERSE,Q=K!=V,9,2.42765
REVERSE,Q=K!=V,10,2.41488
REVERSE,Q=K!=V,11,2.41878
REVERSE,Q=K!=V,12,2.40546
REVERSE,Q=K!=V,13,2.39638
REVERSE,Q=K!=V,14,2.39432
REVERSE,Q=K!=V,15,2.38727
REVERSE,Q=K!=V,16,2.38020
REVERSE,Q=K!=V,17,2.37615
REVERSE,Q=K!=V,18,2.36263
REVERSE,Q=K!=V,19,2.36282
REVERSE,Q=K!=V,20,2.35251
REVERSE,Q=K!=V,21,2.35049
REVERSE,Q=K!=V,22,2.34329
REVERSE,Q=K!=V,23,2.34050
REVERSE,Q=K!=V,24,2.33902
